,Match ID,Date,Venue,Winner,Bowler,Runs Concided,Wickets,Economy,Ball Bowled,Opponent Team,Inning,Over Bowled
2376,1339618,2023-04-24,Rawalpindi Cricket Stadium,New Zealand,Faheem Ashraf,17,0,17.0,8,New Zealand,2,1
2378,1339618,2023-04-24,Rawalpindi Cricket Stadium,New Zealand,Haris Rauf,39,0,9.75,26,New Zealand,2,4
2380,1339618,2023-04-24,Rawalpindi Cricket Stadium,New Zealand,Ihsanullah,39,0,9.75,27,New Zealand,2,4
2381,1339618,2023-04-24,Rawalpindi Cricket Stadium,New Zealand,Imad Wasim,21,2,5.25,25,New Zealand,2,4
2384,1339618,2023-04-24,Rawalpindi Cricket Stadium,New Zealand,Shadab Khan,29,0,14.5,12,New Zealand,2,2
2385,1339618,2023-04-24,Rawalpindi Cricket Stadium,New Zealand,Shaheen Shah Afridi,48,2,12.0,24,New Zealand,2,4
2388,1362815,2023-03-24,Sharjah Cricket Stadium,Afghanistan,Ihsanullah,17,2,4.25,25,Afghanistan,2,4
2389,1362815,2023-03-24,Sharjah Cricket Stadium,Afghanistan,Imad Wasim,11,1,2.75,24,Afghanistan,2,4
2392,1362815,2023-03-24,Sharjah Cricket Stadium,Afghanistan,Naseem Shah,27,1,6.75,24,Afghanistan,2,4
2395,1362815,2023-03-24,Sharjah Cricket Stadium,Afghanistan,Shadab Khan,15,0,5.0,18,Afghanistan,2,3
2396,1362815,2023-03-24,Sharjah Cricket Stadium,Afghanistan,Zaman Khan,19,0,6.33,18,Afghanistan,2,3
2399,1362816,2023-03-26,Sharjah Cricket Stadium,Afghanistan,Ihsanullah,23,1,7.67,19,Afghanistan,2,3
2400,1362816,2023-03-26,Sharjah Cricket Stadium,Afghanistan,Imad Wasim,5,0,5.0,6,Afghanistan,2,1
2402,1362816,2023-03-26,Sharjah Cricket Stadium,Afghanistan,Mohammad Nawaz,16,0,4.0,24,Afghanistan,2,4
2404,1362816,2023-03-26,Sharjah Cricket Stadium,Afghanistan,Naseem Shah,39,0,9.75,24,Afghanistan,2,4
2407,1362816,2023-03-26,Sharjah Cricket Stadium,Afghanistan,Shadab Khan,24,1,6.0,25,Afghanistan,2,4
2408,1362816,2023-03-26,Sharjah Cricket Stadium,Afghanistan,Zaman Khan,22,1,7.33,23,Afghanistan,2,3
2411,1362817,2023-03-27,Sharjah Cricket Stadium,Pakistan,Ihsanullah,29,5,7.25,25,Afghanistan,2,4
2412,1362817,2023-03-27,Sharjah Cricket Stadium,Pakistan,Imad Wasim,25,1,8.33,19,Afghanistan,2,3
2415,1362817,2023-03-27,Sharjah Cricket Stadium,Pakistan,Mohammad Nawaz,11,0,11.0,6,Afghanistan,2,1
2416,1362817,2023-03-27,Sharjah Cricket Stadium,Pakistan,Mohammad Wasim,13,1,4.33,18,Afghanistan,2,3
2419,1362817,2023-03-27,Sharjah Cricket Stadium,Pakistan,Shadab Khan,13,3,3.25,25,Afghanistan,2,4
2420,1362817,2023-03-27,Sharjah Cricket Stadium,Pakistan,Zaman Khan,20,1,6.67,23,Afghanistan,2,3
