,antecedents,consequents,confidence,lift,jaccard_coefficient,kulczynski_measure,confidence_norm,lift_norm,jaccard_coefficient_norm,kulczynski_measure_norm,score
1111,"frozenset({'Shadab Khan', 'Economy: 0-6'})",frozenset({'Won'}),0.7500000000000001,1.162974683544304,0.04979253112033197,0.6974489795918368,0.5000000000000002,0.03378378378378379,0.28805761362234633,0.7710280373831778,0.47110407368003565
9042,"frozenset({'Shadab Khan', 'West Indies', 'Economy: 0-6'})","frozenset({'Over: 4', 'Won'})",0.8750000000000001,2.1949658703071675,0.02380952380952381,0.6368197278911565,0.7500000000000002,0.12372013651877133,0.10737628384687208,0.659968847352025,0.4675755530115463
1869,"frozenset({'Shadab Khan', 'Wickets: 3+'})",frozenset({'Won'}),0.8333333333333333,1.2921940928270041,0.010526315789473686,0.7391156462585033,0.6666666666666665,0.04504504504504503,0.015007157362095944,0.8473520249221184,0.46321225918976877
7305,"frozenset({'Shadab Khan', 'Over: 4', 'New Zealand', '1st Inning'})",frozenset({'Won'}),0.8333333333333333,1.2921940928270041,0.010526315789473686,0.7391156462585033,0.6666666666666665,0.04504504504504503,0.015007157362095944,0.8473520249221184,0.46321225918976877
6524,"frozenset({'Shadab Khan', 'Wickets: 2-3', '1st Inning', 'Economy: 0-6'})",frozenset({'Won'}),0.8333333333333333,1.2921940928270041,0.010526315789473686,0.7391156462585033,0.6666666666666665,0.04504504504504503,0.015007157362095944,0.8473520249221184,0.46321225918976877
9791,"frozenset({'New Zealand', 'Shadab Khan', '1st Inning', 'Over: 4', 'Wickets: 0-1'})",frozenset({'Won'}),0.8333333333333333,1.2921940928270041,0.010526315789473686,0.7391156462585033,0.6666666666666665,0.04504504504504503,0.015007157362095944,0.8473520249221184,0.46321225918976877
4425,"frozenset({'Shadab Khan', '2nd Inning', 'Wickets: 3+'})",frozenset({'Won'}),0.8333333333333333,1.2921940928270041,0.010526315789473686,0.7391156462585033,0.6666666666666665,0.04504504504504503,0.015007157362095944,0.8473520249221184,0.46321225918976877
5536,"frozenset({'Shadab Khan', 'New Zealand', 'Economy: 8-10'})",frozenset({'Won'}),0.8333333333333333,1.2921940928270041,0.010526315789473686,0.7391156462585033,0.6666666666666665,0.04504504504504503,0.015007157362095944,0.8473520249221184,0.46321225918976877
9557,"frozenset({'Shadab Khan', 'Wickets: 2-3', '1st Inning', 'Over: 4', 'Economy: 0-6'})",frozenset({'Won'}),0.8333333333333333,1.2921940928270041,0.010526315789473686,0.7391156462585033,0.6666666666666665,0.04504504504504503,0.015007157362095944,0.8473520249221184,0.46321225918976877
2913,"frozenset({'Shadab Khan', 'Over: 4', '1st Inning'})",frozenset({'Won'}),0.7499999999999999,1.1629746835443038,0.04365904365904366,0.6974489795918366,0.4999999999999998,0.03378378378378377,0.24540640479919415,0.7710280373831774,0.4583087110330898
